id	nombre	resumen	empuje
suplica	Súplica	Alguien pide clemencia, ayuda o perdón a quien puede dárselos.	sumision
salvamento	Salvamento	Una persona o cosa es rescatada de un peligro inminente.	peligro_fisico
venganza	Venganza	Se cobra una ofensa, con o sin justicia.	venganza
persecucion	Persecución	Alguien huye; otro lo persigue.	persecucion
desastre	Desastre	Una catástrofe cae sobre el grupo o el lugar.	desastre
enigma	Enigma	Hay que resolver un secreto, un crimen o una mentira.	enigma
obtencion	Obtención	Se busca un objeto, un puesto o un favor.	ambicion
rivalidad	Rivalidad	Dos fuerzas se disputan lo mismo.	rivalidad
amor_prohibido	Amor prohibido	El deseo choca con una norma, un tercero o el miedo.	tabu
locura	Locura	La percepción se tuerce; el mundo interior invade el exterior.	amenaza_psicologica
sacrificio	Sacrificio	Alguien entrega algo irrecuperable por otro o por una causa.	sacrificio
ambicion	Ambición	El hambre de poder o de estatus mueve la escena.	ambicion
celos	Celos	La sospecha de pérdida de afecto distorsiona cada gesto.	celos
error	Error de juicio	Se actúa sobre una creencia falsa.	malentendido
remordimiento	Remordimiento	El pasado vuelve como culpa.	remordimiento
recuperar	Recuperar lo perdido	Se intenta volver a un estado anterior.	nostalgia
perder	Pérdida	Alguien o algo se va y no vuelve igual.	perdida
adulterio	Infidelidad	Un vínculo se rompe o se tensa por un tercero.	transgresion
revuelta	Revuelta	Se desafía una autoridad.	revuelta
empresa	Empresa temeraria	Se acomete algo desproporcionado.	temeridad
rapto	Rapto	Alguien es llevado contra su voluntad.	peligro_fisico
odio	Odio íntimo	El rencor vive cerca, en casa o en la oficina.	odio
necesidad	Necesidad cruel	Hay que elegir entre dos males.	necesidad_cruel
conflicto	Conflicto de lealtades	Dos deberes no caben a la vez.	dilema
descubrimiento	Descubrimiento	Se revela un hecho que cambia el tablero.	descubrimiento
humillacion	Humillación	El estatus se rompe en público o en privado.	humillacion
seduccion	Seducción	Uno atrae; el otro resiste o cede.	seduccion
chantaje	Chantaje	Un secreto se usa como palanca.	chantaje
traicion	Traición	Se rompe una confianza dada.	traicion
alianza	Alianza frágil	Se colabora con quien no se confía del todo.	complicidad
vigilancia	Vigilancia	Alguien observa sin ser del todo visto.	vigilancia
cotidiano	Roce cotidiano	Nada “pasa” y aun así todo pesa.	rutina
tentacion	Tentación	Se ofrece algo que no se debería tomar.	tentacion
confesion	Confesión	Se dice lo que se callaba.	confesion
