id	nombre	resumen	familia
mundano	Mundano	Lo ordinario pesa más que el acontecimiento.	cotidiano
burocratico	Burocrático	El sello, la cola, el formulario mandan.	cotidiano
laboral	Laboral	El trabajo organiza el tiempo y el gesto.	cotidiano
domestico	Doméstico	La casa, los platos, lo que no se dice en la mesa.	cotidiano
tramite	Trámite	Hay que pasar por un procedimiento para llegar a lo vivo.	cotidiano
espera	Espera	El tiempo no avanza; se lo siente.	cotidiano
rutina	Rutina	El día se parece al de ayer hasta en los ruidos.	cotidiano
aburrimiento	Aburrimiento	Nada nuevo entra; el reloj es el antagonista.	cotidiano
estancamiento	Estancamiento	Se podría irse y no se va.	cotidiano
vecindad	Vecindad	Gente cerca que no es íntima y aun así oye.	cotidiano
consumo	Consumo	Objetos, marcas, el precio como medida.	cotidiano
desplazamiento	Desplazamiento	Ir de un sitio a otro ya es la escena.	cotidiano
horario	Horario	La hora marca más que la voluntad.	cotidiano
ruido_de_fondo	Ruido de fondo	Lo que no es el tema y no se puede apagar.	cotidiano
etiqueta	Etiqueta	Normas chicas que duelen si se rompen.	cotidiano
cortesia	Cortesía	Lo correcto tapa lo que se piensa.	cotidiano
chisme	Chisme	La noticia viaja más rápido que la persona.	cotidiano
rumor_social	Rumor social	Nadie lo vio; todos lo comentan.	cotidiano
cola	Cola	El orden de llegada humilla o protege.	cotidiano
mantenimiento	Mantenimiento	Arreglar lo que se rompe para que nada cambie.	cotidiano
higiene_publica	Higiene pública	El cuerpo ajeno, el baño, el olor del compartido.	cotidiano
comida_rapida	Comida rápida	Alimentarse sin ceremonia.	cotidiano
transporte	Transporte	Cuerpos juntos que no se deben nada.	cotidiano
descanso_roto	Descanso roto	El ocio no descansa.	cotidiano
romance	Romance	El vínculo afectivo es el motor, no el decorado.	afecto
ternura	Ternura	Un gesto chico que no pide nada a cambio.	afecto
apego	Apego	Quedarse cerca cueste lo que cueste.	afecto
cuidado	Cuidado	Atender el cuerpo o el ánimo de otro.	afecto
soledad	Soledad	Nadie entra, o entra y no cuenta.	afecto
abandono	Abandono	Se iban a quedar y no quedaron.	afecto
duelo_afectivo	Duelo afectivo	El cariño sigue y el otro no.	afecto
reconciliacion	Reconciliación	Se vuelve a un vínculo que se había roto.	afecto
ruptura	Ruptura	Se nombra el final, o se actúa como si ya estuviera.	afecto
amistad	Amistad	Cercanía sin el contrato del deseo.	afecto
lealtad_afectiva	Lealtad afectiva	Se elige a alguien contra el resto.	afecto
nostalgia	Nostalgia	El pasado huele mejor de lo que fue.	afecto
anhelo	Anhelo	Se desea un estado que no llega.	afecto
proteccion	Protección	Poner el cuerpo o la mentira entre el otro y el golpe.	afecto
dependencia	Dependencia	No se sabe estar si el otro no está.	afecto
celos	Celos	La sospecha de pérdida de afecto distorsiona cada gesto.	afecto
posesividad	Posesividad	El otro se trata como territorio.	afecto
carencia	Carencia	Falta algo que no se nombra bien.	afecto
reencuentro	Reencuentro	Volver a verse después de un corte.	afecto
despedida	Despedida	El último rato juntos, o el que finge no serlo.	afecto
hogar_emocional	Hogar emocional	Este cuerpo, esta voz, es donde se descansa.	afecto
indiferencia_afectiva	Indiferencia afectiva	No duele: eso es lo que duele.	afecto
erotismo	Erotismo	El cuerpo ocupa más sitio que la conversación.	deseo
coqueteo	Coqueteo	Se tira el anzuelo y se mide la respuesta.	deseo
seduccion	Seducción	Uno atrae; el otro resiste o cede.	deseo
tentacion	Tentación	Se ofrece algo que no se debería tomar.	deseo
tabu	Tabú	El deseo choca con una norma que todos conocen.	deseo
transgresion	Transgresión	Se cruza una línea a propósito.	deseo
exhibicion	Exhibición	Mostrarse es el acto.	deseo
voyeurismo	Voyeurismo	Ver sin ser del todo visto, y eso basta.	deseo
contencion	Contención	Se podría tocar y no se toca.	deseo
entrega_erotica	Entrega	Se cede el control del cuerpo un rato.	deseo
rechazo_erotico	Rechazo erótico	El deseo de uno no encuentra al otro.	deseo
distancia_corporal	Distancia corporal	El espacio entre dos cuerpos es la frase.	deseo
calor	Calor	La temperatura sube y no es el clima.	deseo
verguenza_corporal	Vergüenza corporal	El cuerpo se siente de más.	deseo
lujuria	Lujuria	El hambre no pide relato.	deseo
pudor	Pudor	Se tapa lo que se quiere mostrar.	deseo
roce	Roce	Un contacto mínimo carga más que un discurso.	deseo
mirada_cargada	Mirada cargada	Los ojos llegan antes que la mano.	deseo
amenaza	Amenaza	Algo puede hacer daño y está cerca.	miedo
horror	Horror	Lo que se ve no debería poder verse.	miedo
paranoia	Paranoia	El peligro podría estar en cualquiera.	miedo
persecucion	Persecución	Uno huye; el otro no suelta.	miedo
supervivencia	Supervivencia	Aguantar el entorno es el único plan.	miedo
violencia	Violencia	El daño ya no es metáfora.	miedo
peligro_fisico	Peligro físico	El cuerpo puede romperse ahora.	miedo
peligro_social	Peligro social	El grupo puede expulsarte.	miedo
peligro_economico	Peligro económico	El sueldo, la deuda, el techo.	miedo
peligro_legal	Peligro legal	La ley puede entrar por la puerta.	miedo
claustrofobia	Claustrofobia	El espacio se cierra; hay pocas salidas.	miedo
exposicion	Exposición	Te ven de más; no hay dónde esconderse.	miedo
vigilancia	Vigilancia	Alguien observa sin ser del todo visto.	miedo
acecho	Acecho	La presencia ajena se siente antes de verse.	miedo
presagio	Presagio	El cuerpo sabe que viene algo.	miedo
inquietud	Inquietud	Nada concreto, y aun así no se está bien.	miedo
panico	Pánico	El miedo deja de caber en el pecho.	miedo
amenaza_psicologica	Amenaza psicológica	Te deshacen por dentro, sin marcar la piel.	miedo
acecho_social	Acecho social	Te siguen con comentarios, no con pasos.	miedo
intimidacion	Intimidación	Se muestra el poder para que te encogas.	miedo
amenaza_velada	Amenaza velada	La frase educada esconde el golpe.	miedo
miedo_al_vacio	Miedo al vacío	Da más miedo que no pase nada.	miedo
jerarquia	Jerarquía	Arriba y abajo se sientan en sillas distintas.	poder
ambicion	Ambición	El hambre de puesto o de nombre mueve la escena.	poder
humillacion	Humillación	El estatus se rompe en un gesto pequeño.	poder
status	Estatus	Quién mira a quién, y desde dónde.	poder
revuelta	Revuelta	Se desafía una autoridad.	poder
sumision	Sumisión	Se cede el mando, a gusto o no.	poder
dominacion	Dominación	Se toma el mando del espacio o del otro.	poder
chantaje	Chantaje	Un secreto se usa como palanca.	poder
deuda	Deuda	Se debe, y eso ordena la escena.	poder
favor	Favor	Lo que se da hoy se cobra mañana.	poder
privilegio	Privilegio	A alguien las normas no le pesan igual.	poder
exclusion	Exclusión	El círculo se cierra y vos quedás afuera.	poder
acoso	Acoso	La insistencia no pide permiso.	poder
autoridad	Autoridad	Quien manda no necesita alzar la voz.	poder
insubordinacion	Insubordinación	Se dice que no a quien no se le dice que no.	poder
rivalidad	Rivalidad	Dos fuerzas se disputan lo mismo.	poder
competencia	Competencia	Hay un marcador, aunque no se vea.	poder
credito	Crédito	Quién se lleva el reconocimiento.	poder
verguenza_publica	Vergüenza pública	El daño se hace con testigos.	poder
impunidad	Impunidad	Puede hacerlo porque nadie lo para.	poder
servilismo	Servilismo	Adular es la estrategia.	poder
nepotismo	Nepotismo	La sangre o el afecto valen más que el mérito.	poder
misterio	Misterio	Falta una pieza y el mundo no quiere darla.	verdad
